x	id	Time	FoodType	RUS NAME	Голод	Жажда	Calories	Proteins	Lipids	Carbohydrates	CantEat	CannedFood	EvolvedRecipe	evo_out
	Base.Acorn	150	Nut	Жёлудь	-10		55	6	24	12			Soup:10;Roasted Vegetables:10;Bread:10	
	Base.Allsorts	20	Candy	Лакричные сладости	-10		16,6	0	0	4,33			ConeIcecream:5	
	Base.AmericanLadyCaterpillar			Гусеница	-5		27	27,55	20,24	3				
	Base.Antibiotics			Антибиотики										
	Base.Apple	40	Fruits	Яблоко	-16	-7	95	0,47	0,31	25,13			Cake:16;FruitSalad:8;Pancakes:8;Waffles:8;Muffin:8;PieSweet:16;Oatmeal:4;Salad:8	
	Base.Avocado	50	Vegetables	Авокадо	-16	-7	227	2,67	20,96	11,75			Omelette:8;Soup:16;Stew:16;Pie:16;Stir fry Griddle Pan:16;Stir fry:16;Sandwich:8;Sandwich Baguette:8;Salad:16;Roasted Vegetables:16;RicePot:16;RicePan:16;PastaPot:16;PastaPan:16;Taco:8;Burrito:8;Toast:8	
	Base.BagelPlain			Бейгл	-10		177	5,9	2,22	33				
	Base.BagelPoppy			Бейгл с маком	-10		177	5,9	2,22	33				
	Base.BagelSesame			Бейгл с кунжутом	-10		177	5,9	2,22	33				
1	Base.Baguette	180	Bread	Багет	-23		532	17,7	6,66	99			Soup:5;Stew:5;Salad:5	Авокадо; Арахисовое масло; Базилик; Баклажан; Банан; Баранья отбивная; Бекон; Бутылка майонеза; Васаби; Виноградная листва; Вяленое мясо; Горчица; Грибы; Грибы; Грибы; Грибы; Грибы; Грибы; Грибы; Гуакамоле; Жареная креветка; Жареная креветка; Жареная курица; Жареные луковые кольца; Жареные луковые кольца; Жареные устрицы; Зелёный лук; Икра рыбы; Кальмар; Капуста; Кетчуп; Кинза; Кольца кальмара; Корень имбиря; Креветка; Куриные наггетсы; Курица; Кусочек ветчины; Кусочки бекона; Лобстер; Ломтик болонской колбасы; Ломтик салями; Ломтики бекона; Лосось; Луковые кольца; Мёд; Мальва придорожная; Маргарин; Маринованный имбирь; Мармелад; Масло; Миска бобов; Морковь; Мясо кролика; Мясо маленького животного; Мясо птицы; Одуванчики; Оливковое масло; Омлет; Омлет; Острый соус; Открыт. консерв. бобы; Открыт. консерв. говядина; Открыт. консерв. морковь; Открыт. консерв. мясо с чили; Открыт. консерв. сардины; Открыт. консерв. томат; Открыт. консерв. тунец; Пепперони; Пережаренная фасоль; Перец; Петрушка; Плавленый сыр; Подливка; Растительное масло; Речной рак; Рисовый уксус; Розмарин; Рыба жареная; Салат-латук; Сало; Свиная отбивная; Сладкий перец; Соевый соус; Соленья; Соль; Соус маринара; Стейк; Сыр; Томат; Томатная паста; Устрицы; Фарш; Филе рыбы; Фруктовый джем; Хабанеро; Халапеньо; Хот-дог; Цукини; Чабрец; Черемша; Шалфей; Яичница-болтунья; Яйцо варёное; Яйцо-пашот
	Base.BaguetteDough			Багет	-15	15	532	17,7	6,66	99				
2	Base.BaguetteSandwich			Сэндвич	-10		360	5,8	8,5	42				
	Base.BaitFish			Маленькая рыбка	-3		30	8,52	1,5	0				
	Base.BakingTrayBread			Противень с хлебом	-15	20	532	17,7	6,66	99				
1	Base.BakingTray_Muffin			Противень с маффинами	-30		520	54,53	52,61	50,45	TRUE			Ананас; Апельсин; Банан; Виноград; Вишня; Грейпфрут; Груша; Красивоплодник; Куски арбуза; Лайм; Лимон; Ломтик арбуза; Манго; Открыт. консерв. ананасы; Открыт. консерв. персики; Открыт. консерв. фруктовый коктейль; Открыт. консерв. фруктовый напиток; Падуб; Падуб мутовчатый; Персик; Сахарная глазурь; Семечки подсолнуха; Шоколадная крошка; Яблоко; Ягоды; Ягоды; Ягоды; Ягоды; Ягоды; Ягоды; Ягоды; Ягоды
2	Base.BakingTray_Muffin_Recipe			Противень с маффинами	-30		520	54,53	52,61	50,45	TRUE			
	Base.Baloney	180	Sausage	Болонская колбаса	-30		200	22,65	6,35	2				
	Base.BaloneySlice	180	Sausage	Ломтик болонской колбасы	-5		33	3,78	1,06	0,33			Pizza:5;Stew:5;Stir fry Griddle Pan:5;Stir fry:5;Sandwich:5;Sandwich Baguette:5;Roasted Vegetables:5;PastaPot:5;PastaPan:5;RicePot:5;RicePan:5	
	Base.Banana	50	Fruits	Банан	-16	-5	105	1,29	0,39	26,95			Bread:16;Cake:16;FruitSalad:8;Pancakes:8;Waffles:8;Muffin:8;ConeIcecream:4;PieSweet:16;Oatmeal:4;Sandwich:8;Sandwich Baguette:8	
	Base.BandedWoolyBearCaterpillar			Гусеница	-5		27	27,55	20,24	3				
	Base.Basil	-1	Herb	Базилик	-1		0,1	0	0	0			Stir fry:1;Stir fry Griddle Pan:1;Pizza:1;Omelette:1;PastaPan:1;PastaPot:1;RicePan:1;RicePot:1;Sandwich:1;Salad:1;Sandwich Baguette:1;Soup:1;Stew:1;Bread:1;Burger:1;Roasted Vegetables:1	
	Base.Bass			Большеротый окунь	-26		403	48	24	1				
	Base.BeanBowl	120	Bean	Миска бобов	-24		170	7	1	33			Omelette:8;Soup:24;Stew:24;RicePot:24;RicePan:24;Sandwich:8;Sandwich Baguette:8;Toast:8;Salad:8	
	Base.BeautyBerry	20	Berry	Красивоплодник	-10	-1	23	4	0	5			Cake:10;FruitSalad:10;Pancakes:10;Waffles:10;Muffin:10;ConeIcecream:5;PieSweet:10;Oatmeal:5	
	Base.BeefJerky	240	Beef	Вяленое мясо	-20		100	1	1	6			Stew:10;Pie:10;Stir fry Griddle Pan:10;Stir fry:10;Sandwich:5;Sandwich Baguette:5;Salad:5;Roasted Vegetables:10;RicePot:10;RicePan:10;PastaPot:10;PastaPan:10	
2	Base.Beer			Пиво в стакане										
2	Base.Beer2			Пиво в стаканчике										
	Base.BeerBottle	80	Beer	Бутылка пива	-9	-13	170	0	0	39			Soup:9;Stew:9;Beer:9;Beer2:9	
	Base.BeerCan	80	Beer	Банка пива	-8	-13	160	0	0	39			Soup:8;Stew:8;Beer:9;Beer2:9	
	Base.BellPepper	30	Vegetables	Сладкий перец	-8	-2	30	1	0	7			Pizza:8;Omelette:4;Soup:8;Pie:8;Stir fry Griddle Pan:8;Stir fry:8;Sandwich:2;Sandwich Baguette:2;Burger:2;Salad:4;Roasted Vegetables:8;RicePot:8;RicePan:8;PastaPot:8;PastaPan:8;Taco:2;Burrito:4	
	Base.BerryBlack	20	Berry	Ягоды	-10	-1	23	4	0	5			Cake:10;FruitSalad:10;Pancakes:10;Waffles:10;Muffin:10;ConeIcecream:5;PieSweet:10;Oatmeal:5	
	Base.BerryBlue	20	Berry	Ягоды	-10	-1	23	4	0	5			Cake:10;FruitSalad:10;Pancakes:10;Waffles:10;Muffin:10;ConeIcecream:5;PieSweet:10;Oatmeal:5	
	Base.BerryGeneric1	20	Berry	Ягоды	-5	-1	12	2	0	3			Cake:5;FruitSalad:5;Pancakes:5;Waffles:5;Muffin:5;ConeIcecream:5;PieSweet:5;Oatmeal:5	
	Base.BerryGeneric2	20	Berry	Ягоды	-10	-1	23	4	0	5			Cake:10;FruitSalad:10;Pancakes:10;Waffles:10;Muffin:10;ConeIcecream:5;PieSweet:10;Oatmeal:5	
	Base.BerryGeneric3	20	Berry	Ягоды	-5	-1	8	2	0	3			Cake:5;FruitSalad:5;Pancakes:5;Waffles:5;Muffin:5;ConeIcecream:5;PieSweet:5;Oatmeal:5	
	Base.BerryGeneric4	20	Berry	Ягоды	-10	-1	23	4	0	5			Cake:10;FruitSalad:10;Pancakes:10;Waffles:10;Muffin:10;ConeIcecream:5;PieSweet:10;Oatmeal:5	
	Base.BerryGeneric5	20	Berry	Ягоды	-10	-1	23	4	0	5			Cake:10;FruitSalad:10;Pancakes:10;Waffles:10;Muffin:10;ConeIcecream:5;PieSweet:10;Oatmeal:5	
	Base.BerryPoisonIvy	20	Berry	Ягоды	-5	-1	23	4	0	5			Cake:5;FruitSalad:5;Pancakes:5;Waffles:5;Muffin:5;ConeIcecream:5;PieSweet:5;Oatmeal:5	
2	Base.Beverage			Напиток										
2	Base.Beverage2			Напиток										
	Base.Biscuit		NoExplicit	Бисквит	-5		160	1	8	22			Soup:5;Stew:5	
	Base.BlackSage	-1	Herb	Шалфей клейкий	-1		0,1	0	0	0			HotDrink:1;HotDrinkRed:1;HotDrinkWhite:1;HotDrinkSpiffo:1;HotDrinkTea:1	
	Base.Blackbeans	120	Bean	Чёрная фасоль	-10		45	3,95	0,45	10,45			Soup:10;Stew:10;Stir fry Griddle Pan:10;Stir fry:10;Roasted Vegetables:10;RicePot:10;RicePan:10;Burrito:10;Taco:5	
	Base.Bleach			Бутылка отбеливателя		-60								
	Base.BouillonCube	-1	Stock	Бульонный кубик	-3	5	16	0,6	0,5	2,3			Soup:3;Stew:3;Beverage:1;Beverage2:1;HotDrink:1;HotDrinkRed:1;HotDrinkWhite:1;HotDrinkSpiffo:1;HotDrinkTea:1	
	Base.Bread	180	Bread	Хлеб	-30		532	17,7	6,66	99			Soup:5;Stew:5;Salad:5	
3	Base.BreadDough			Домашний хлеб	-24	15	532	17,7	6,66	99				Базилик; Банан; Жёлудь; Зелёный лук; Мармелад; Орегано; Петрушка; Плавленый сыр; Плоды шиповника; Розмарин; Сахарная глазурь; Семечки подсолнуха; Сыр; Фруктовый джем; Чабрец; Шалфей; Шоколад; Шоколадная крошка
1	Base.BreadSlices	180	Bread	Ломтики хлеба	-10		177	5,9	2,22	33			Soup:5;Stew:5;Salad:5	Авокадо; Арахисовое масло; Базилик; Базилик; Баклажан; Баклажан; Банан; Баранья отбивная; Баранья отбивная; Бекон; Бекон; Бутылка майонеза; Бутылка майонеза; Васаби; Васаби; Виноградная листва; Вяленое мясо; Горчица; Горчица; Грибы; Грибы; Грибы; Грибы; Грибы; Грибы; Грибы; Грибы; Грибы; Грибы; Грибы; Грибы; Грибы; Грибы; Гуакамоле; Гуакамоле; Жареная креветка; Жареная креветка; Жареная курица; Жареная курица; Жареные луковые кольца; Жареные луковые кольца; Жареные луковые кольца; Жареные луковые кольца; Жареные устрицы; Жареные устрицы; Жареный тофу; Жареный тофу; Зелёный лук; Зелёный лук; Икра рыбы; Кальмар; Кальмар; Капуста; Капуста; Кетчуп; Кетчуп; Кинза; Кинза; Кольца кальмара; Кольца кальмара; Корень имбиря; Котлета; Креветка; Креветка; Кукуруза; Куриные наггетсы; Куриные наггетсы; Курица; Курица; Кусочек ветчины; Кусочек ветчины; Кусочки бекона; Кусочки бекона; Лобстер; Лобстер; Ломтик болонской колбасы; Ломтик салями; Ломтики бекона; Ломтики бекона; Лосось; Луковые кольца; Луковые кольца; Мёд; Мальва придорожная; Маргарин; Маринованный имбирь; Мармелад; Масло; Миска бобов; Морковь; Мясо кролика; Мясо кролика; Мясо маленького животного; Мясо маленького животного; Мясо птицы; Мясо птицы; Одуванчики; Одуванчики; Оливковое масло; Оливковое масло; Омлет; Омлет; Омлет; Омлет; Орегано; Острый соус; Острый соус; Открыт. консерв. бобы; Открыт. консерв. болоньезе; Открыт. консерв. говядина; Открыт. консерв. говядина; Открыт. консерв. грибной суп; Открыт. консерв. кукуруза; Открыт. консерв. морковь; Открыт. консерв. мясо с чили; Открыт. консерв. мясо с чили; Открыт. консерв. сардины; Открыт. консерв. томат; Открыт. консерв. томат; Открыт. консерв. тунец; Пепперони; Пережаренная фасоль; Пережаренная фасоль; Перец; Перец; Петрушка; Петрушка; Плавленый сыр; Плавленый сыр; Подливка; Подливка; Растительное масло; Растительное масло; Редис; Речной рак; Речной рак; Рисовый уксус; Рисовый уксус; Розмарин; Розмарин; Рыба жареная; Рыба жареная; Салат-латук; Салат-латук; Сало; Свиная отбивная; Свиная отбивная; Сладкий перец; Сладкий перец; Соевый соус; Соевый соус; Соленья; Соленья; Соль; Соль; Сосиска; Соус маринара; Соус маринара; Стейк; Сыр; Сыр; Томат; Томат; Томатная паста; Тофу; Тофу; Устрицы; Устрицы; Фарш; Фарш; Филе рыбы; Филе рыбы; Фруктовый джем; Хабанеро; Хабанеро; Халапеньо; Халапеньо; Хот-дог; Хот-дог; Цукини; Чабрец; Чабрец; Черемша; Черемша; Шалфей; Шалфей; Яичница-болтунья; Яичница-болтунья; Яйцо варёное; Яйцо варёное; Яйцо-пашот; Яйцо-пашот
	Base.Broccoli	40	Vegetables	Брокколи	-9	-4	11	0,87	0,11	2,06			Pizza:9;Omelette:9;Soup:9;Stew:9;Pie:9;Stir fry Griddle Pan:9;Stir fry:9;Salad:9;Roasted Vegetables:9;RicePot:9;RicePan:9;PastaPot:9;PastaPan:9	
	Base.Burger			Бургер	-25		440	25	37	0				
2	Base.BurgerRecipe			Бургер	-20		440	25	37	30,5				
	Base.Burrito			Буррито	-25		500	37	34	100				
2	Base.BurritoRecipe			Буррито	-5		40	2	2	0				
	Base.Butter			Масло	-24		3200	0	352	0			Pancakes:4;Waffles:4;Sandwich:4;Sandwich Baguette:4;Stir fry Griddle Pan:4;Stir fry:4;Roasted Vegetables:4;PastaPot:4;PastaPan:4;Taco:4;Burrito:4;Toast:4;Oatmeal:4;Soup:4;Stew:4	
	Base.CakeBlackForest			Кусочек торта «Шварцвальд»	-10		90	10	12	4				
	Base.CakeCarrot			Кусочек морковного торта	-7		70	10	12	4				
	Base.CakeCheeseCake			Кусочек чизкейка	-8		80	10	12	4				
	Base.CakeChocolate	30		Кусочек шоколадного торта	-10		90	10	12	4				
